Data de Carga,"Nome ",Sexo,Idade,Sexo_condicionado,Classificação
2022-11-25 09:22:42,Mr. Owen Harris Braund,male,22,Masculino,Homem
2022-11-25 09:22:42,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38,Feminino,Mulher
2022-11-25 09:22:42,Miss. Laina Heikkinen,female,26,Feminino,Mulher
2022-11-25 09:22:42,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35,Feminino,Mulher
2022-11-25 09:22:42,Mr. William Henry Allen,male,35,Masculino,Homem
2022-11-25 09:22:42,Mr. James Moran,male,27,Masculino,Homem
2022-11-25 09:22:42,Mr. Timothy J McCarthy,male,54,Masculino,Homem
2022-11-25 09:22:42,Master. Gosta Leonard Palsson,male,2,Masculino,Homem
2022-11-25 09:22:42,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27,Feminino,Mulher
2022-11-25 09:22:42,Mrs. Nicholas (Adele Achem) Nasser,female,14,Feminino,Mulher
2022-11-25 09:22:42,Miss. Marguerite Rut Sandstrom,female,4,Feminino,Mulher
2022-11-25 09:22:42,Miss. Elizabeth Bonnell,female,58,Feminino,Mulher
2022-11-25 09:22:42,Mr. William Henry Saundercock,male,20,Masculino,Homem
2022-11-25 09:22:42,Mr. Anders Johan Andersson,male,39,Masculino,Homem
2022-11-25 09:22:42,Miss. Hulda Amanda Adolfina Vestrom,female,14,Feminino,Mulher
2022-11-25 09:22:42,Mrs. (Mary D Kingcome) Hewlett,female,55,Feminino,Mulher
2022-11-25 09:22:42,Master. Eugene Rice,male,2,Masculino,Homem
2022-11-25 09:22:42,Mr. Charles Eugene Williams,male,23,Masculino,Homem
2022-11-25 09:22:42,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31,Feminino,Mulher
2022-11-25 09:22:42,Mrs. Fatima Masselmani,female,22,Feminino,Mulher
2022-11-25 09:22:42,Mr. Joseph J Fynney,male,35,Masculino,Homem
2022-11-25 09:22:42,Mr. Lawrence Beesley,male,34,Masculino,Homem
2022-11-25 09:22:42,Miss. Anna McGowan,female,15,Feminino,Mulher
2022-11-25 09:22:42,Mr. William Thompson Sloper,male,28,Masculino,Homem
2022-11-25 09:22:42,Miss. Torborg Danira Palsson,female,8,Feminino,Mulher
2022-11-25 09:22:42,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38,Feminino,Mulher
2022-11-25 09:22:42,Mr. Farred Chehab Emir,male,26,Masculino,Homem
2022-11-25 09:22:42,Mr. Charles Alexander Fortune,male,19,Masculino,Homem
2022-11-25 09:22:42,"Miss. Ellen O'Dwyer",female,24,Feminino,Mulher
2022-11-25 09:22:42,Mr. Lalio Todoroff,male,23,Masculino,Homem
2022-11-25 09:22:42,Don. Manuel E Uruchurtu,male,40,Masculino,Homem
2022-11-25 09:22:42,Mrs. William Augustus (Marie Eugenie) Spencer,female,48,Feminino,Mulher
2022-11-25 09:22:42,Miss. Mary Agatha Glynn,female,18,Feminino,Mulher
2022-11-25 09:22:42,Mr. Edward H Wheadon,male,66,Masculino,Homem
2022-11-25 09:22:42,Mr. Edgar Joseph Meyer,male,28,Masculino,Homem
2022-11-25 09:22:42,Mr. Alexander Oskar Holverson,male,42,Masculino,Homem
2022-11-25 09:22:42,Mr. Hanna Mamee,male,18,Masculino,Homem
2022-11-25 09:22:42,Mr. Ernest Charles Cann,male,21,Masculino,Homem
2022-11-25 09:22:42,Miss. Augusta Maria Vander Planke,female,18,Feminino,Mulher
2022-11-25 09:22:42,Miss. Jamila Nicola-Yarred,female,14,Feminino,Mulher
